DATA_DO_PREGAO,PRECO_MEDIO,CODIGO_DE_NEGOCIACAO,NOME_DA_EMPRESA,QUANTIDADE_NEGOCIADA
2020-01-02,18.68,AALR3,ALLIAR,585800.0
2020-01-02,19.12,ABEV3,AMBEV S/A,16011300.0
2020-01-02,2.44,ADHM3,ADVANCED-DH,193400.0
2020-01-02,11.15,AFLT3,AFLUENTE T,4300.0
2020-01-02,19.21,AGRO3,BRASILAGRO,59600.0
2020-01-02,27.17,ALPA3,ALPARGATAS,9700.0
2020-01-02,50.13,ALSO3,ALIANSCSONAE,1627800.0
2020-01-02,11.15,ALUP3,ALUPAR,56600.0
2020-01-02,13.34,AMAR3,LOJAS MARISA,1667200.0
2020-01-02,29.89,ANIM3,ANIMA,578500.0
2020-01-02,30.08,APER3,ALPER S.A.,145400.0
2020-01-02,63.56,ARZZ3,AREZZO CO,529300.0
2020-01-02,1.7,ATOM3,ATOMPAR,49200.0
2020-01-02,100.42,BAHI3,BAHEMA,4000.0
2020-01-02,39.64,BAZA3,AMAZONIA,2300.0
2020-01-02,53.64,BBAS3,BRASIL,13159900.0
2020-01-02,34.94,BBDC3,BRADESCO,2820100.0
2020-01-02,6.1,BBRK3,BR BROKERS,322000.0
2020-01-02,38.08,BBSE3,BBSEGURIDADE,3930900.0
2020-01-02,12.72,BEEF3,MINERVA,5777900.0
2020-01-02,6.44,BEES3,BANESTES,48400.0
2020-01-02,14.71,BIDI3,BANCO INTER,325800.0
2020-01-02,12.67,BIOM3,BIOMM,29500.0
2020-01-02,17.38,BKBR3,BK BRASIL,918500.0
2020-01-02,13.25,BMEB3,MERC BRASIL,100.0
2020-01-02,274.99,BMKS3,BIC MONARK,0.0
2020-01-02,92.45,BNBR3,NORD BRASIL,1000.0
2020-01-02,39.19,BPAC3,BTGP BANCO,900.0
2020-01-02,35.32,BRAP3,BRADESPAR,20000.0
2020-01-02,30.67,BRDT3,PETROBRAS BR,3835200.0
2020-01-02,35.8,BRFS3,BRF SA,3210200.0
2020-01-02,15.49,BRGE3,ALFA CONSORC,16600.0
2020-01-02,8.8,BRIV3,ALFA INVEST,6400.0
2020-01-02,32.62,BRKM3,BRASKEM,20300.0
2020-01-02,18.13,BRML3,BR MALLS PAR,6441200.0
2020-01-02,14.58,BRPR3,BR PROPERT,1982700.0
2020-01-02,23.04,BRSR3,BANRISUL,1800.0
2020-01-02,2.82,BSEV3,BIOSEV,43300.0
2020-01-02,64.48,BTOW3,B2W DIGITAL,2529500.0
2020-01-02,5.99,BTTL3,BATTISTELLA,4800.0
2020-01-02,6.83,CAMB3,CAMBUCI,28900.0
2020-01-02,9.19,CAML3,CAMIL,1470100.0
2020-01-02,13.03,CARD3,CSU CARDSYST,974900.0
2020-01-02,19.8,CBEE3,AMPLA ENERG,800.0
2020-01-02,25.59,CCPR3,CYRE COM-CCP,623400.0
2020-01-02,18.98,CCRO3,CCR SA,5363300.0
2020-01-02,17.96,CEAB3,CEA MODAS,1102600.0
2020-01-02,55.7,CEBR3,CEB,100.0
2020-01-02,40.5,CEEB3,COELBA,600.0
2020-01-02,48.0,CEGR3,CEG,200.0
2020-01-02,31.85,CESP3,CESP,48800.0
2020-01-02,142.88,CGAS3,COMGAS,100.0
2020-01-02,29.17,CGRA3,GRAZZIOTIN,2100.0
2020-01-02,8.4,CIEL3,CIELO,14708800.0
2020-01-02,15.39,CMIG3,CEMIG,3070400.0
2020-01-02,36.69,CNTO3,CENTAURO,1312600.0
2020-01-02,11.91,COGN3,COGNA ON,12730400.0
2020-01-02,35.33,CPFE3,CPFL ENERGIA,1267000.0
2020-01-02,68.11,CPLE3,COPEL,88400.0
2020-01-02,18.11,CPRE3,CPFL RENOVAV,300.0
2020-01-02,33.03,CRDE3,CR2,500.0
2020-01-02,23.63,CRFB3,CARREFOUR BR,3206400.0
2020-01-02,6.2,CRIV3,ALFA FINANC,13300.0
2020-01-02,71.74,CSAN3,COSAN,1351500.0
2020-01-02,67.77,CSMG3,COPASA,417000.0
2020-01-02,14.63,CSNA3,SID NACIONAL,13780900.0
2020-01-02,11.57,CTNM3,COTEMINAS,2700.0
2020-01-02,6.32,CTSA3,SANTANENSE,12300.0
2020-01-02,44.57,CVCB3,CVC BRASIL,2520000.0
2020-01-02,30.65,CYRE3,CYRELA REALT,4995800.0
2020-01-02,57.73,DASA3,DASA,2100.0
2020-01-02,15.33,DIRR3,DIRECIONAL,1205700.0
2020-01-02,2.89,DMMO3,DOMMO,2351900.0
2020-01-02,5.15,DTCY3,DTCOM-DIRECT,200.0
2020-01-02,17.02,DTEX3,DURATEX,2690800.0
2020-01-02,13.97,EALT3,ACO ALTONA,100.0
2020-01-02,16.39,ECOR3,ECORODOVIAS,2366600.0
2020-01-02,432.07,EEEL3,CEEE-GT,100.0
2020-01-02,51.86,EGIE3,ENGIE BRASIL,1135700.0
2020-01-02,24.98,EKTR3,ELEKTRO,200.0
2020-01-02,37.78,ELET3,ELETROBRAS,4116400.0
2020-01-02,20.12,EMBR3,EMBRAER,3271300.0
2020-01-02,16.63,ENAT3,ENAUTA PART,1240700.0
2020-01-02,21.94,ENBR3,ENERGIAS BR,3070700.0
2020-01-02,43.66,ENEV3,ENEVA,1831700.0
2020-01-02,13.2,ENGI3,ENERGISA,28800.0
2020-01-02,31.75,ENMT3,ENERGISA MT,200.0
2020-01-02,3.43,EQPA3,EQTL PARA,83200.0
2020-01-02,23.3,EQTL3,EQUATORIAL,4940300.0
2020-01-02,61.1,EUCA3,EUCATEX,3000.0
2020-01-02,16.0,EVEN3,EVEN,1497800.0
2020-01-02,52.23,EZTC3,EZTEC,1304800.0
2020-01-02,31.06,FLRY3,FLEURY,1759800.0
2020-01-02,6.06,FRAS3,FRAS-LE,451700.0
2020-01-02,47.37,GEPA3,GER PARANAP,300.0
2020-01-02,9.32,GFSA3,GAFISA,10833100.0
2020-01-02,17.47,GGBR3,GERDAU,59700.0
2020-01-02,71.36,GNDI3,INTERMEDICA,4014800.0
2020-01-02,8.97,GOAU3,GERDAU MET,113000.0
2020-01-02,12.22,GRND3,GRENDENE,1179400.0
2020-01-02,2.85,GSHP3,GENERALSHOPP,947600.0
2020-01-02,24.43,GUAR3,GUARARAPES,781900.0
2020-01-02,4.6,HAGA3,HAGA S/A,800.0
2020-01-02,66.09,HAPV3,HAPVIDA,2600200.0
2020-01-02,4.58,HBOR3,HELBOR,7787200.0
2020-01-02,34.43,HGTX3,CIA HERING,1830500.0
2020-01-02,35.81,HYPE3,HYPERA,1573400.0
2020-01-02,3.38,IDNT3,IDEIASNET,116200.0
2020-01-02,3.86,IDVL3,INDUSVAL,65100.0
2020-01-02,54.18,IGTA3,IGUATEMI,1911800.0
2020-01-02,39.71,IRBR3,IRBBRASIL RE,4279600.0
2020-01-02,14.11,ITSA3,ITAUSA,620300.0
2020-01-02,32.4,ITUB3,ITAUUNIBANCO,820400.0
2020-01-02,3.25,JBDU3,J B DUARTE,13300.0
2020-01-02,26.73,JBSS3,JBS,14804300.0
2020-01-02,3.14,JFEN3,JOAO FORTES,695800.0
2020-01-02,7.43,JHSF3,JHSF PART,6707700.0
2020-01-02,38.35,JPSA3,JEREISSATI,118200.0
2020-01-02,28.62,JSLG3,JSL,1686400.0
2020-01-02,30.21,KEPL3,KEPLER WEBER,189100.0
2020-01-02,4.3,KLBN3,KLABIN S/A,349400.0
2020-01-02,20.18,LAME3,LOJAS AMERIC,1623300.0
2020-01-02,22.99,LCAM3,LOCAMERICA,4351800.0
2020-01-02,29.16,LEVE3,METAL LEVE,362800.0
2020-01-02,23.95,LIGT3,LIGHT S/A,4385000.0
2020-01-02,36.48,LINX3,LINX,943500.0
2020-01-02,75.2,LIPR3,ELETROPAR,100.0
2020-01-02,17.06,LLIS3,LE LIS BLANC,245400.0
2020-01-02,32.36,LOGG3,LOG COM PROP,349700.0
2020-01-02,21.48,LOGN3,LOG-IN,1991000.0
2020-01-02,9.5,LPSB3,LOPES BRASIL,2245700.0
2020-01-02,57.24,LREN3,LOJAS RENNER,2991800.0
2020-01-02,38.78,MDIA3,M.DIASBRANCO,1443300.0
2020-01-02,8.74,MEAL3,IMC S/A,1285600.0
2020-01-02,48.83,MGLU3,MAGAZ LUIZA,7400200.0
2020-01-02,10.28,MILS3,MILLS,1462600.0
2020-01-02,35.05,MNDL3,MUNDIAL,500.0
2020-01-02,5.78,MNPR3,MINUPAR,11300.0
2020-01-02,170.1,MOAR3,MONT ARANHA,200.0
2020-01-02,19.33,MOVI3,MOVIDA,1902300.0
2020-01-02,10.07,MRFG3,MARFRIG,14753600.0
2020-01-02,21.99,MRVE3,MRV,4039800.0
2020-01-02,33.44,MULT3,MULTIPLAN,2378100.0
2020-01-02,23.5,MYPK3,IOCHP-MAXION,1542000.0
2020-01-02,24.68,NEOE3,NEOENERGIA,1987000.0
2020-01-02,4.67,NORD3,NORDON MET,900.0
2020-01-02,38.31,NTCO3,GRUPO NATURA,10508500.0
2020-01-02,16.92,ODPV3,ODONTOPREV,935400.0
2020-01-02,43.43,OFSA3,OUROFINO S/A,18100.0
2020-01-02,38.11,OMGE3,OMEGA GER,1252700.0
2020-01-02,27.13,PARD3,IHPARDINI,231200.0
2020-01-02,32.52,PETR3,PETROBRAS,6660800.0
2020-01-02,6.58,PFRM3,PROFARMA,549100.0
2020-01-02,7.25,PLAS3,PLASCAR PART,5300.0
2020-01-02,29.0,PMAM3,PARANAPANEMA,218500.0
2020-01-02,4.29,POMO3,MARCOPOLO,658300.0
2020-01-02,10.23,POSI3,POSITIVO TEC,831500.0
2020-01-02,34.58,PRIO3,PETRORIO,1863500.0
2020-01-02,63.6,PSSA3,PORTO SEGURO,437500.0
2020-01-02,5.43,PTBL3,PORTOBELLO,570500.0
2020-01-02,38.5,QUAL3,QUALICORP,3780700.0
2020-01-02,113.65,RADL3,RAIADROGASIL,1048800.0
2020-01-02,26.25,RAIL3,RUMO S.A.,20924400.0
2020-01-02,4.11,RANI3,CELUL IRANI,18200.0
2020-01-02,11.39,RAPT3,RANDON PART,6300.0
2020-01-02,1.79,RCSL3,RECRUSUL,291700.0
2020-01-02,15.82,RDNI3,RNI,37800.0
2020-01-02,8.44,REDE3,REDE ENERGIA,4900.0
2020-01-02,49.03,RENT3,LOCALIZA,3085100.0
2020-01-02,23.44,RLOG3,COSAN LOG,692600.0
2020-01-02,17.42,ROMI3,INDS ROMI,235100.0
2020-01-02,8.08,RPAD3,ALFA HOLDING,30800.0
2020-01-02,9.28,RSID3,ROSSI RESID,639900.0
2020-01-02,26.15,SANB3,SANTANDER BR,101300.0
2020-01-02,17.98,SAPR3,SANEPAR,189500.0
2020-01-02,60.31,SBSP3,SABESP,1885800.0
2020-01-02,47.34,SCAR3,SAO CARLOS,11300.0
2020-01-02,28.4,SEER3,SER EDUCA,679200.0
2020-01-02,12.43,SGPS3,SPRINGS,92400.0
2020-01-02,6.26,SHOW3,TIME FOR FUN,504700.0
2020-01-02,25.24,SLCE3,SLC AGRICOLA,1082300.0
2020-01-02,39.61,SMLS3,SMILES,1175600.0
2020-01-02,24.01,SMTO3,SAO MARTINHO,599100.0
2020-01-02,9.9,SPRI3,SPRINGER,100.0
2020-01-02,24.56,SQIA3,SINQIA,1340200.0
2020-01-02,8.2,STBP3,SANTOS BRP,2569000.0
2020-01-02,25.7,SULA3,SUL AMERICA,1800.0
2020-01-02,40.54,SUZB3,SUZANO S.A.,3978400.0
2020-01-02,10.22,TAEE3,TAESA,55500.0
2020-01-02,5.24,TASA3,TAURUS ARMAS,197100.0
2020-01-02,1.93,TCSA3,TECNISA,32808600.0
2020-01-02,3.58,TECN3,TECHNOS,605600.0
2020-01-02,31.16,TEND3,TENDA,786400.0
2020-01-02,23.42,TESA3,TERRA SANTA,63100.0
2020-01-02,38.54,TGMA3,TEGMA,286100.0
2020-01-02,4.11,TIET3,AES TIETE E,1043700.0
2020-01-02,15.78,TIMP3,TIM PART S/A,8256700.0
2020-01-02,67.55,TOTS3,TOTVS,3650200.0
2020-01-02,15.46,TRIS3,TRISUL,1983400.0
2020-01-02,27.48,TRPL3,TRAN PAULIST,10300.0
2020-01-02,25.31,TUPY3,TUPY,787700.0
2020-01-02,5.06,UCAS3,UNICASA,565700.0
2020-01-02,25.44,UGPA3,ULTRAPAR,9685800.0
2020-01-02,35.14,UNIP3,UNIPAR,8300.0
2020-01-02,9.95,USIM3,USIMINAS,91400.0
2020-01-02,54.11,VALE3,VALE,17509700.0
2020-01-02,29.21,VIVA3,VIVARA S.A.,778100.0
2020-01-02,48.24,VIVT3,TELEF BRASIL,38100.0
2020-01-02,16.95,VLID3,VALID,672400.0
2020-01-02,9.13,VULC3,VULCABRAS,1173300.0
2020-01-02,11.59,VVAR3,VIAVAREJO,40413200.0
2020-01-02,35.12,WEGE3,WEG,2938000.0
2020-01-02,10.11,WHRL3,WHIRLPOOL,4800.0
2020-01-02,14.47,WIZS3,WIZ S.A.,581300.0
2020-01-02,12.21,WLMM3,WLM IND COM,400.0
2020-01-02,47.37,YDUQ3,YDUQS PART,3274500.0
2020-01-02,6.95,AZEV3,AZEVEDO,9000.0
2020-01-02,9.07,LIQO3,LIQ,24800.0
2020-01-02,1.67,TPIS3,TRIUNFO PART,846800.0
2020-01-02,4.32,ETER3,ETERNIT,314400.0
2020-01-02,3.71,FHER3,FER HERINGER,575400.0
2020-01-02,8.54,FRTA3,POMIFRUTAS,6900.0
2020-01-02,40.0,GPCP3,GPC PART,19100.0
2020-01-02,3.28,IGBR3,IGB S/A,95400.0
2020-01-02,7.82,INEP3,INEPAR,1400.0
2020-01-02,2.09,LUPA3,LUPATECH,1644500.0
2020-01-02,2.49,MMXM3,MMX MINER,120900.0
2020-01-02,0.86,OIBR3,OI,100124800.0
2020-01-02,3.4,OSXB3,OSX BRASIL,1700.0
2020-01-02,7.85,PDGR3,PDG REALT,414800.0
2020-01-02,5.05,RNEW3,RENOVA,9500.0
2020-01-02,5.18,RPMG3,PET MANGUINH,47500.0
2020-01-02,4.54,SLED3,SARAIVA LIVR,62700.0
2020-01-02,1.51,TCNO3,TECNOSOLO,81600.0
