DATA_DO_PREGAO,AALR3,ABEV3,AGRO3,ALUP3,AMAR3,ANIM3,BBAS3,BBDC3,BBSE3,BEEF3,BEES3,BRAP3,BRFS3,BRKM3,BRSR3,CAMB3,CAML3,CCRO3,CEAB3,CMIG3,COGN3,CPFE3,CPLE3,CRFB3,CSAN3,CSMG3,CSNA3,CVCB3,CYRE3,DIRR3,ECOR3,EGIE3,ELET3,EMBR3,ENEV3,ENGI3,EQTL3,EVEN3,EZTC3,FLRY3,FRAS3,GFSA3,GGBR3,GOAU3,GRND3,GUAR3,HAPV3,HBOR3,HYPE3,IRBR3,ITSA3,ITUB3,JBSS3,JHSF3,KEPL3,KLBN3,LEVE3,LIGT3,LOGG3,LOGN3,LPSB3,LREN3,MDIA3,MEAL3,MGLU3,MILS3,MOVI3,MRFG3,MRVE3,MULT3,MYPK3,NEOE3,NTCO3,ODPV3,PETR3,PFRM3,PMAM3,POMO3,POSI3,PRIO3,PSSA3,PTBL3,QUAL3,RADL3,RAIL3,RANI3,RAPT3,RCSL3,RDNI3,RENT3,ROMI3,RSID3,SANB3,SAPR3,SBSP3,SEER3,SHOW3,SLCE3,SMTO3,STBP3,SUZB3,TAEE3,TASA3,TCSA3,TECN3,TEND3,TGMA3,TOTS3,TRIS3,TUPY3,UCAS3,UGPA3,UNIP3,USIM3,VALE3,VIVA3,VIVT3,VLID3,VULC3,WEGE3,YDUQ3,TPIS3,ETER3,FHER3,LUPA3,OIBR3,PDGR3,RNEW3,VIVR3
2020-01-02,18.68,19.12,19.21,11.15,13.34,29.89,53.64,34.94,38.08,12.72,6.44,35.32,35.8,32.62,23.04,6.83,9.19,18.98,17.96,15.39,11.91,35.33,68.11,23.63,71.74,67.77,14.63,44.57,30.65,15.33,16.39,51.86,37.78,20.12,43.66,13.2,23.3,16.0,52.23,31.06,6.06,9.32,17.47,8.97,12.22,24.43,66.09,4.58,35.81,39.71,14.11,32.4,26.73,7.43,30.21,4.3,29.16,23.95,32.36,21.48,9.5,57.24,38.78,8.74,48.83,10.28,19.33,10.07,21.99,33.44,23.5,24.68,38.31,16.92,32.52,6.58,29.0,4.29,10.23,34.58,63.6,5.43,38.5,113.65,26.25,4.11,11.39,1.79,15.82,49.03,17.42,9.28,26.15,17.98,60.31,28.4,6.26,25.24,24.01,8.2,40.54,10.22,5.24,1.93,3.58,31.16,38.54,67.55,15.46,25.31,5.06,25.44,35.14,9.95,54.11,29.21,48.24,16.95,9.13,35.12,47.37,1.67,4.32,3.71,2.09,0.86,7.85,5.05,2.74
2020-01-03,18.95,19.0,19.23,11.38,13.62,29.77,53.56,34.97,37.99,12.71,6.44,35.34,35.84,33.17,23.19,6.71,9.19,18.88,17.98,15.55,12.16,34.83,71.22,24.45,72.87,67.86,14.56,44.3,32.06,15.47,16.28,52.07,37.51,20.31,44.27,13.24,23.3,16.17,53.4,30.57,6.25,9.96,17.52,8.96,12.36,24.78,68.8,4.74,36.42,39.7,14.15,32.45,27.22,7.92,30.42,4.31,29.44,23.69,31.66,24.35,9.47,57.46,39.43,8.71,49.04,10.14,19.85,10.14,22.1,33.59,23.69,24.25,40.46,16.99,32.3,6.81,28.12,4.22,9.93,37.33,63.26,5.35,39.56,112.53,25.88,4.05,11.86,1.78,15.86,48.96,17.0,9.66,26.45,19.2,59.71,27.95,6.04,25.67,24.13,8.31,40.74,10.22,5.35,1.95,3.27,31.38,39.49,69.96,15.95,25.85,5.41,25.44,34.78,9.93,54.02,28.86,48.56,16.88,8.86,34.91,46.22,1.66,4.25,3.94,2.4,0.85,8.1,4.98,2.96
2020-01-06,18.97,19.01,19.36,11.36,13.68,30.0,52.96,34.61,38.25,12.78,6.45,35.5,35.61,33.7,22.98,6.84,9.12,18.44,17.89,15.44,11.92,35.23,70.84,23.79,72.84,66.86,14.26,43.8,32.54,15.34,16.07,52.12,37.64,20.39,44.76,13.04,23.32,16.15,53.27,30.59,6.24,10.1,17.3,8.96,12.26,25.12,66.94,4.68,36.04,39.21,14.08,32.02,26.96,8.02,30.41,4.35,29.32,23.76,31.64,24.42,9.26,57.09,39.22,8.66,48.65,10.08,19.89,10.12,21.76,33.53,23.59,24.37,39.88,16.94,32.77,7.4,27.69,4.21,9.65,38.44,63.51,5.26,40.47,110.29,24.72,4.01,11.65,1.88,15.69,48.45,16.52,9.18,25.28,19.95,58.89,27.63,5.86,25.71,24.96,8.37,40.68,10.32,5.53,1.93,3.18,31.25,39.32,69.41,16.15,25.63,5.59,24.77,34.22,9.92,53.45,28.6,48.62,17.29,8.9,34.79,46.5,1.63,4.35,3.79,2.93,0.89,8.02,4.9,3.31
2020-01-07,18.95,19.04,19.46,11.32,13.75,31.9,52.5,34.16,38.36,13.27,6.59,35.81,35.35,33.91,22.98,6.82,8.94,18.62,17.35,16.05,11.98,34.77,71.19,23.3,73.46,66.04,14.25,44.11,32.47,15.34,16.32,51.53,38.32,20.45,44.99,13.12,23.11,16.56,53.81,31.13,6.31,9.71,17.45,8.97,12.67,24.89,65.59,4.68,35.61,39.3,13.95,31.55,27.08,8.17,30.32,4.33,29.1,23.78,32.45,24.55,9.41,56.68,39.0,8.73,48.8,9.94,19.94,10.36,21.82,33.52,23.78,24.18,40.15,16.75,32.61,7.26,28.15,4.2,10.02,38.39,63.46,5.41,40.67,108.36,25.07,4.14,11.7,2.09,15.75,48.39,17.08,9.22,25.02,20.19,57.43,27.51,6.03,25.08,24.96,8.27,40.81,10.22,5.59,1.93,3.2,32.27,39.48,69.01,16.39,25.73,5.57,25.08,34.94,9.85,53.89,27.96,49.07,17.39,9.01,35.01,46.02,1.65,4.77,3.92,2.86,0.93,8.09,5.0,3.6
2020-01-08,18.96,19.01,19.46,11.42,13.86,33.01,52.44,33.75,38.34,13.53,6.59,35.71,36.15,34.9,22.99,6.64,8.86,18.57,16.75,16.67,12.03,34.86,70.77,23.07,72.84,65.62,14.24,44.18,31.84,15.44,16.51,51.64,39.07,20.4,44.75,13.13,23.14,16.46,54.31,31.11,6.39,9.2,17.68,8.91,12.85,25.11,63.97,4.6,35.16,39.46,13.81,31.16,27.92,8.1,30.12,4.26,29.46,23.6,32.0,23.6,9.3,57.2,39.06,8.85,49.46,9.88,20.05,10.59,21.72,33.54,23.6,24.49,41.45,16.63,32.03,7.07,27.8,4.2,9.74,38.36,63.26,5.58,39.64,109.36,25.21,4.28,11.51,2.27,15.5,48.86,17.12,9.22,24.54,20.55,56.75,27.21,6.09,24.91,24.58,8.11,42.38,10.19,5.45,1.89,3.15,32.25,39.56,68.27,16.5,25.71,5.52,25.09,34.36,9.84,53.96,27.77,49.57,17.0,9.01,34.28,45.54,1.65,4.81,3.91,2.65,0.92,7.97,5.03,3.49
2020-01-09,19.19,18.68,19.48,11.6,14.16,32.35,51.3,33.1,38.21,13.45,6.68,35.46,36.88,36.73,22.9,6.59,8.95,18.19,15.92,16.56,12.07,35.08,72.43,23.28,71.95,65.78,14.13,43.76,31.53,15.55,16.41,51.51,39.37,20.22,45.31,13.42,23.47,16.49,55.39,31.63,6.59,9.22,17.54,8.92,12.53,26.06,63.24,4.63,35.44,40.83,13.59,30.48,28.1,8.15,30.01,4.29,29.21,23.26,31.9,23.77,9.62,57.08,39.28,8.5,51.74,10.11,20.41,10.97,21.46,33.68,23.64,24.62,41.26,16.77,32.15,7.1,28.01,4.16,9.92,36.75,63.24,5.7,40.01,112.05,25.73,4.21,11.6,2.26,15.75,48.65,17.47,9.35,24.23,20.64,57.35,28.13,5.99,25.07,24.69,8.15,42.96,10.15,5.44,1.81,3.44,32.39,39.65,68.82,16.56,25.83,5.56,25.04,35.9,9.74,53.35,28.48,49.41,17.3,9.05,33.5,45.58,1.63,5.3,3.86,2.83,0.9,8.25,4.9,3.23
2020-01-10,20.53,18.93,19.84,11.54,14.26,32.13,50.44,32.88,36.57,13.49,6.73,35.66,36.58,37.82,22.95,6.63,9.26,18.24,16.14,16.74,12.28,35.83,74.47,23.63,72.28,66.64,14.27,42.57,31.6,15.82,16.47,52.34,40.05,20.17,45.58,13.32,23.79,16.46,56.23,31.49,6.75,9.16,17.76,9.04,12.4,26.41,62.18,4.77,35.96,41.12,13.58,30.52,28.23,8.18,30.06,4.3,29.6,23.42,31.88,23.87,9.97,57.5,40.03,8.16,52.36,10.68,20.54,10.86,21.38,33.38,23.88,24.64,42.9,16.8,32.16,7.11,27.68,4.18,9.85,37.2,63.45,5.74,40.67,111.02,25.89,4.15,11.64,2.2,15.87,48.3,17.61,9.18,24.24,20.79,57.67,28.13,6.07,25.07,25.04,8.26,43.21,10.19,5.44,1.84,3.63,33.16,40.27,69.24,16.57,26.13,5.9,25.14,35.94,9.78,53.38,28.67,49.77,17.32,9.15,34.06,46.05,1.69,5.89,3.97,2.93,0.89,8.15,4.87,3.24
2020-01-13,21.45,19.17,19.75,11.54,14.31,31.99,50.15,33.01,36.08,14.12,6.96,36.18,36.61,37.3,22.96,6.51,9.35,18.08,16.62,16.99,12.52,35.99,76.07,23.74,74.4,66.63,14.79,41.88,32.12,16.01,16.45,53.22,40.23,20.4,45.69,13.23,23.99,16.72,56.35,31.06,6.9,9.41,18.33,9.24,12.35,27.28,62.2,4.86,36.83,41.82,13.62,30.75,28.52,8.31,30.55,4.34,30.28,23.39,31.88,23.68,9.99,57.93,39.94,8.17,53.24,10.73,20.41,10.97,21.41,33.52,23.82,24.68,43.57,16.79,32.05,7.09,27.49,4.16,9.99,38.51,64.33,5.75,41.17,111.45,25.78,4.21,11.54,2.29,15.84,47.98,18.33,9.13,24.42,20.76,59.49,28.4,6.29,24.79,25.33,8.35,44.19,10.22,5.25,1.91,3.44,33.29,40.04,69.09,16.81,26.28,6.15,25.11,36.03,9.92,54.8,29.49,51.01,17.22,9.24,34.23,47.17,1.72,6.68,3.89,2.87,0.88,8.15,5.09,3.2
2020-01-14,21.74,19.2,20.32,11.52,14.14,31.93,50.0,32.87,36.47,14.51,6.93,37.1,36.49,36.25,23.14,6.61,9.25,18.81,16.97,17.19,12.63,35.44,76.87,23.23,76.07,67.48,15.13,41.96,32.3,16.33,17.12,53.52,39.49,20.3,45.61,13.12,24.22,17.15,56.72,31.18,6.97,9.76,18.51,9.43,12.38,27.71,61.58,4.96,37.35,41.45,13.62,30.52,28.56,8.49,30.46,4.33,30.63,22.98,31.96,25.0,10.02,57.4,39.45,8.12,54.15,10.63,20.54,11.33,21.69,33.67,23.93,25.05,43.97,16.94,31.72,7.04,27.86,4.25,9.99,40.35,64.73,5.74,42.47,112.6,25.85,4.21,11.47,2.52,16.22,47.84,18.44,9.41,24.23,20.52,60.92,29.24,6.29,24.62,25.88,8.37,44.7,10.21,5.1,1.9,3.4,34.37,40.05,69.58,16.6,26.68,6.23,25.41,36.01,9.97,55.96,30.14,51.78,18.11,9.29,34.61,48.25,2.09,7.2,3.87,2.87,0.88,8.22,5.22,3.36
2020-01-15,21.66,18.88,20.34,11.45,13.96,32.71,49.27,32.44,36.68,14.38,7.0,37.51,36.43,36.22,23.3,7.12,9.19,18.75,16.97,17.23,12.45,35.96,77.46,22.95,76.37,68.12,14.66,41.69,32.04,16.67,17.36,53.71,39.3,20.05,46.63,13.04,24.25,16.96,57.97,31.36,6.96,9.73,18.35,9.42,12.15,27.69,61.1,4.85,37.55,41.99,13.58,30.36,28.75,8.67,30.55,4.28,30.95,23.68,33.34,25.61,9.98,56.97,38.86,8.31,53.78,10.62,20.54,11.71,21.75,33.72,23.53,25.13,44.34,17.04,31.27,7.25,28.18,4.23,9.83,41.36,64.66,5.87,42.24,113.6,25.1,4.17,11.53,3.48,16.11,48.13,18.43,9.29,24.01,21.06,61.21,29.19,6.2,24.25,25.75,8.35,44.81,10.27,5.2,1.93,3.39,35.28,40.15,69.28,16.73,26.63,6.47,25.59,38.18,9.91,55.56,31.07,53.03,19.08,9.17,35.03,48.29,2.2,7.02,4.19,2.78,0.89,8.21,5.19,3.42
